filename	date	time	dt_iso	preview
2024-09-06__696__вайбы_туфа.md	2024-09-06	03:27	2024-09-06T03:27:14+08:00	Вайбы туфа ❤️‍🔥  Оставлю тут еще ссылку на сюжет про бар:  Вадим там такой миленький
2024-09-07__726__путешествия_тремя_детьми_что-то_высоком_уровне_сложности.md	2024-09-07	03:37	2024-09-07T03:37:33+08:00	Путешествия с тремя детьми это что-то на очень высоком уровне сложности. Я конечно тут же начинаю обесценивать, типа ну что сложного, тоже мне, вон Либерман …
2024-09-08__735__сегодня_провела_день_между_сном_реальностью_ночью.md	2024-09-08	03:24	2024-09-08T03:24:11+08:00	Сегодня я провела день между сном и реальностью. Ночью мне снилось что я летаю, но не высоко, а так, функционально - типа как бегом перемещаться, надо напряч…
2024-09-10__736__don_t_mind_the_pain_space_it.md	2024-09-10	05:47	2024-09-10T05:47:32+08:00	Don't mind the pain. Space it.  Тяжеловато пишется сейчас, потому что я третий день подряд по 10 часов колупаюсь в теме Тени с Серёжей Куприяновым. В любой п…
2024-09-10__737__пока_не_пишу_вам_дневничок_поделюсь_постом.md	2024-09-10	05:48	2024-09-10T05:48:30+08:00	Пока я не пишу вам дневничок, поделюсь постом одного из участников нашей группы - космического корабля.
2024-09-11__747__второй_модуль_холосценденции_поехали_дубай_собралась_группа.md	2024-09-11	13:59	2024-09-11T13:59:30+08:00	На второй модуль Холосценденции мы поехали в Дубай. Там собралась группа - 25+ по большей части наших друзей и знакомых, и вообще людей из тусовки.  Long sto…
2024-09-11__748__кого-то_задели_слова_кого-то_задело_ничего_него.md	2024-09-11	13:59	2024-09-11T13:59:30+08:00	Кого-то задели мои слова, кого-то задело то, что я ничего про него не сказала. Кого-то задела форма и агрессия, кого-то содержание. И мой процесс запустил не…
2024-09-12__759__дала_себе_пару_дней_отдохнуть_всего_отдых.md	2024-09-12	22:56	2024-09-12T22:56:50+08:00	Дала себе пару дней отдохнуть от всего. Но отдых получается сомнительный - мы все еще без няни, и каждый день есть какие-то дела.  Получается, мы приехали по…
2024-09-13__770__сегодня_вдарила_инстаграму_22_только_закончила_постить.md	2024-09-13	22:51	2024-09-13T22:51:43+08:00	Я сегодня вдарила по инстаграму, и вот уже 22 а я только закончила постить все что снимала. УФФФФ столько времени это отнимает по сравнению с телегой. Засеку…
2024-09-14__778__дневник_видели_инсте_повторяться_не_хочу_напишу.md	2024-09-14	23:30	2024-09-14T23:30:39+08:00	Дневник вы мой видели в инсте, повторяться не хочу. Напишу лучше про то как мы переехали на Бали. Но сначала поною немного про сториз -  как меня бесит такую…
2024-09-14__779__вейксерф_не_вставляет_дорогое_развлечение_всего_10.md	2024-09-14	23:30	2024-09-14T23:30:40+08:00	Но вот вейксерф меня уже не вставляет - дорогое развлечение и всего 10% от фана, который я получаю каждый день от лонгборда на споте в 5 минутах езды от дома…
2024-09-16__790__вообще-то_было_два_дня_свиданий_пятницу_дима.md	2024-09-16	00:12	2024-09-16T00:12:35+08:00	У меня вообще-то было два дня свиданий. В пятницу Дима написал пост днем, чтобы освободить нам вечер. Я вообще очень уважаю его комитмент писать каждый и люб…
2024-09-16__791__плакала_даже_больше_чем_своем_процессе_захотелось.md	2024-09-16	00:12	2024-09-16T00:12:36+08:00	Я плакала даже больше, чем на своем процессе, и мне захотелось больше узнать, каким он был ребенком, посмотреть его фотографии, приехать в его родные места. …
2024-09-17__799__снова_историей_терапии_факту_правда_самое_важное.md	2024-09-17	22:10	2024-09-17T22:10:42+08:00	Я снова с историей из терапии, и по факту это правда самое важное что происходит в моей жизни, я как будто разбираю пласт за пластом, провожу древние раскопк…
2024-09-17__800__сегодня_первый_раз_проснулась_5_30_утренний.md	2024-09-17	22:10	2024-09-17T22:10:42+08:00	Сегодня я первый раз проснулась в 5:30 на утренний серф. Волны были большие и было страшновато, но все прошло хорошо.  Потом завтракали с Лешей и Вадимом, го…
2024-09-18__802__день_сегодня_был_достаточно_спокойным_написала_поняла.md	2024-09-18	23:10	2024-09-18T23:10:37+08:00	День сегодня был достаточно спокойным. Написала это и поняла что была ситуация, которая раньше бы сильно меня расстроила.  Знакомый написал серию сториз с ра…
2024-09-20__803__два_дня_каких-до_диких_событиям_рабочей_нагрузке.md	2024-09-20	22:58	2024-09-20T22:58:44+08:00	Два дня каких-до диких по событиям и рабочей нагрузке на мою голову. Мне кажется что мой мозг обрабатывает тонну инфы и выдает какие-то решения, роудмэпы, и …
